Descricao,Data,Valor
Lanchonete,2022-08-29 10:14:15,-19.27
Farmacia,2022-08-29 09:23:56,-24.32
Uber,2022-08-29 01:43:28,-15.68
Farmacia,2022-08-28 10:26:20,-15.52
Jau Serve,2022-08-27 17:20:17,-15.05
Carrefour,2022-08-27 14:36:08,-128.99
Laticinios,2022-08-27 11:40:36,-18.81
ClickBus,2022-08-26 13:05:18,-15.75
Livraria,2022-08-26 11:26:42,-70.11
Internet,2022-08-26 11:09:38,-100.0
Aluguel,2022-08-26 11:09:38,-750.0
Academia,2022-08-26 11:09:38,-80.0
Salario,2022-08-26 11:09:38,5000.0
Uber,2022-08-25 15:39:31,-7.71
Cinema,2022-08-25 07:03:07,-17.44
Laticinios,2022-08-25 04:11:28,-10.53
IFood,2022-08-23 19:29:25,-13.59
Açougue,2022-08-21 19:22:58,-36.86
Farmacia,2022-08-21 18:29:43,-16.53
Uber,2022-08-21 14:30:43,-12.25
Farmacia,2022-08-20 18:15:29,-22.57
Adidas,2022-08-20 08:45:03,-144.93
IFood,2022-08-20 02:20:18,-9.26
Cinema,2022-08-18 12:14:31,-14.38
Uber,2022-08-18 07:08:12,-10.11
Laticinios,2022-08-18 06:31:02,-17.82
Farmacia,2022-08-16 22:15:51,-19.13
Cinema,2022-08-15 21:57:12,-19.67
Farmacia,2022-08-15 14:45:11,-72.38
Laticinios,2022-08-15 04:42:03,-7.43
Laticinios,2022-08-13 11:04:40,-15.67
Jau Serve,2022-08-12 21:36:52,-137.83
Gol,2022-08-12 03:24:25,-147.24
Cinema,2022-08-12 01:26:12,-17.7
Livraria,2022-08-11 18:38:13,-119.13
Açougue,2022-08-11 12:00:17,-38.45
Livraria,2022-08-11 06:53:12,-74.97
Livraria,2022-08-10 20:40:29,-33.72
Jau Serve,2022-08-09 08:30:51,-40.7
Açougue,2022-08-07 18:33:07,-67.34
Cinema,2022-08-07 14:12:09,-20.38
Azul,2022-08-07 00:11:06,-320.15
ClickBus,2022-08-06 23:16:52,-61.07
ClickBus,2022-08-06 13:11:43,-74.27
IFood,2022-08-05 22:47:32,-20.5
Gol,2022-08-04 00:16:02,-329.03
Uber,2022-08-03 18:17:59,-12.53
IFood,2022-08-03 18:01:09,-15.84
Jau Serve,2022-08-03 16:47:01,-20.19
Jau Serve,2022-08-03 14:24:11,-13.65
Livraria,2022-08-03 00:04:05,-70.16
Cinema,2022-08-02 18:51:48,-8.66
Cinema,2022-08-01 08:07:30,-19.09
Laticinios,2022-07-31 18:58:33,-16.56
Renner,2022-07-31 12:40:21,-77.99
Farmacia,2022-07-31 11:54:03,-121.99
Consultorio Medico,2022-07-31 04:16:16,-361.42
Latam,2022-07-30 05:19:17,-399.63
Jau Serve,2022-07-30 04:35:40,-119.91
Farmacia,2022-07-29 10:23:02,-12.63
CVC,2022-07-29 05:48:46,-313.57
ClickBus,2022-07-28 06:41:02,-40.66
Farmacia,2022-07-27 19:52:43,-13.85
Lanchonete,2022-07-27 03:18:32,-15.47
Farmacia,2022-07-26 14:37:38,-20.88
Internet,2022-07-26 11:09:38,-100.0
Salario,2022-07-26 11:09:38,5000.0
Aluguel,2022-07-26 11:09:38,-750.0
Academia,2022-07-26 11:09:38,-80.0
Restaurante,2022-07-25 22:09:51,-48.62
Jau Serve,2022-07-25 12:10:29,-74.01
ClickBus,2022-07-25 04:42:57,-21.28
IFood,2022-07-24 07:39:12,-7.16
Livraria,2022-07-22 17:47:56,-41.82
Jau Serve,2022-07-22 15:38:14,-30.89
Lanchonete,2022-07-22 14:47:28,-12.84
Jau Serve,2022-07-22 06:25:35,-73.91
IFood,2022-07-22 01:42:36,-9.48
Uber,2022-07-20 09:54:28,-14.94
Adidas,2022-07-19 12:22:24,-96.06
IFood,2022-07-18 01:44:25,-19.63
Açougue,2022-07-17 21:53:34,-28.22
Veterinario,2022-07-17 18:47:51,-100.58
Cinema,2022-07-16 15:01:52,-11.45
Cinema,2022-07-16 06:13:53,-14.43
Açougue,2022-07-16 04:53:42,-62.47
Lanchonete,2022-07-16 04:02:34,-12.17
Livraria,2022-07-15 23:32:00,-114.27
Uber,2022-07-14 11:50:47,-18.25
Farmacia,2022-07-13 12:56:31,-131.16
Jau Serve,2022-07-13 03:25:28,-69.28
Livraria,2022-07-12 16:54:07,-71.39
Lanchonete,2022-07-09 20:48:15,-15.18
Consultorio Medico,2022-07-09 14:56:21,-363.57
Jau Serve,2022-07-09 10:43:06,-14.45
CVC,2022-07-09 05:49:45,-371.34
Livraria,2022-07-06 21:52:04,-41.05
Lanchonete,2022-07-06 02:35:31,-14.65
Cinema,2022-07-05 06:33:22,-12.84
Consultorio Medico,2022-07-05 06:07:48,-64.15
Cinema,2022-07-03 19:29:39,-11.22
Azul,2022-07-03 04:59:27,-103.72
Pandora,2022-07-03 00:26:53,-378.53
Jau Serve,2022-07-01 18:15:24,-19.43
Laticinios,2022-06-30 11:27:19,-13.43
Farmacia,2022-06-29 17:03:58,-65.3
IFood,2022-06-29 00:41:43,-13.41
Latam,2022-06-28 00:17:21,-374.91
Uber,2022-06-28 00:15:19,-18.0
Consultorio Medico,2022-06-27 08:49:34,-92.2
Livraria,2022-06-27 06:06:22,-82.65
Aluguel,2022-06-26 11:09:38,-750.0
Salario,2022-06-26 11:09:38,5000.0
Academia,2022-06-26 11:09:38,-80.0
Internet,2022-06-26 11:09:38,-100.0
Cinema,2022-06-26 03:30:57,-16.2
Azul,2022-06-25 11:37:56,-384.42
Livraria,2022-06-24 13:21:55,-35.64
Livraria,2022-06-24 02:19:11,-17.01
Laticinios,2022-06-24 01:35:30,-19.39
Lanchonete,2022-06-24 01:13:56,-11.31
Farmacia,2022-06-23 01:04:49,-20.61
Uber,2022-06-22 20:31:47,-20.75
Carrefour,2022-06-22 18:51:38,-121.87
Jau Serve,2022-06-22 18:08:04,-50.08
Cinema,2022-06-21 19:37:48,-8.35
Renner,2022-06-21 12:07:35,-84.03
Cinema,2022-06-21 06:19:59,-19.45
Lanchonete,2022-06-21 00:23:37,-21.79
Laticinios,2022-06-20 13:37:11,-12.52
Farmacia,2022-06-20 00:46:12,-20.39
Farmacia,2022-06-19 19:34:41,-11.06
Lanchonete,2022-06-19 09:08:02,-14.15
Gol,2022-06-18 10:09:42,-66.84
Cinema,2022-06-18 03:55:58,-8.16
Gol,2022-06-18 01:47:49,-329.43
ClickBus,2022-06-17 23:43:53,-23.05
Uber,2022-06-17 19:16:58,-17.72
Restaurante,2022-06-17 11:27:20,-58.48
Jau Serve,2022-06-17 10:44:56,-53.63
Azul,2022-06-16 16:53:27,-396.36
IFood,2022-06-15 18:13:58,-17.9
Gol,2022-06-15 15:40:14,-342.62
IFood,2022-06-15 01:48:08,-20.41
Latam,2022-06-14 00:54:16,-396.91
Azul,2022-06-12 10:30:03,-88.59
Uber,2022-06-12 09:22:23,-21.25
Uber,2022-06-12 04:56:55,-18.98
Farmacia,2022-06-10 20:32:05,-16.55
IFood,2022-06-10 19:29:15,-13.93
Lanchonete,2022-06-10 16:54:44,-10.35
IFood,2022-06-10 03:58:47,-21.55
Cinema,2022-06-09 12:46:21,-21.31
Laticinios,2022-06-07 10:44:08,-12.66
IFood,2022-06-07 03:45:04,-14.37
Jau Serve,2022-06-05 19:45:09,-17.3
Cinema,2022-06-05 17:28:05,-20.39
Cinema,2022-06-04 17:24:04,-19.01
Renner,2022-06-04 09:03:01,-104.15
Lanchonete,2022-06-03 01:29:09,-17.54
Cinema,2022-06-02 03:22:15,-13.13
Cinema,2022-06-02 01:58:26,-15.34
Uber,2022-05-31 15:18:27,-16.95
Jau Serve,2022-05-31 14:10:11,-13.13
Farmacia,2022-05-30 22:36:27,-9.84
Azul,2022-05-29 19:39:27,-377.2
Jau Serve,2022-05-27 13:59:44,-14.31
Academia,2022-05-26 11:09:38,-80.0
Aluguel,2022-05-26 11:09:38,-750.0
Internet,2022-05-26 11:09:38,-100.0
Salario,2022-05-26 11:09:38,5000.0
CVC,2022-05-26 08:09:44,-359.85
ClickBus,2022-05-25 04:07:37,-45.62
Lanchonete,2022-05-24 07:51:30,-8.16
ClickBus,2022-05-24 00:21:14,-101.91
Cinema,2022-05-22 16:41:34,-19.81
Laticinios,2022-05-22 01:24:02,-14.25
Laticinios,2022-05-21 15:22:05,-20.71
Pandora,2022-05-21 07:45:42,-346.4
IFood,2022-05-19 22:23:18,-11.96
Cinema,2022-05-19 08:30:05,-12.1
ClickBus,2022-05-19 05:58:49,-36.95
ClickBus,2022-05-16 23:16:55,-117.41
ClickBus,2022-05-15 16:53:28,-126.24
Latam,2022-05-14 04:56:11,-301.25
Jau Serve,2022-05-14 00:21:36,-63.35
Renner,2022-05-13 19:42:53,-71.87
Jau Serve,2022-05-13 08:12:17,-12.47
Açougue,2022-05-13 06:17:49,-25.91
ClickBus,2022-05-13 05:17:33,-147.58
Farmacia,2022-05-11 16:49:05,-16.83
IFood,2022-05-11 03:10:34,-21.95
Cinema,2022-05-10 18:58:38,-21.98
Lanchonete,2022-05-10 04:12:21,-14.66
Farmacia,2022-05-09 23:01:11,-46.39
Jau Serve,2022-05-08 07:48:02,-34.01
Lanchonete,2022-05-08 05:26:45,-11.71
Azul,2022-05-08 02:09:08,-326.99
Jau Serve,2022-05-07 12:37:13,-109.06
Cinema,2022-05-07 02:41:06,-10.68
Cinema,2022-05-05 22:35:39,-11.55
CVC,2022-05-05 18:39:39,-363.05
Farmacia,2022-05-03 07:36:28,-52.2
Jau Serve,2022-05-02 23:28:24,-7.52
Cinema,2022-05-02 20:20:41,-18.47
IFood,2022-05-02 12:33:53,-14.63
Laticinios,2022-05-01 00:24:59,-11.54
Jau Serve,2022-04-30 15:36:13,-14.59
Cinema,2022-04-30 07:32:40,-14.2
Laticinios,2022-04-28 03:34:19,-20.43
Consultorio Medico,2022-04-27 20:33:00,-346.98
ClickBus,2022-04-26 11:18:10,-22.87
Salario,2022-04-26 11:09:38,5000.0
Academia,2022-04-26 11:09:38,-80.0
Aluguel,2022-04-26 11:09:38,-750.0
Internet,2022-04-26 11:09:38,-100.0
Lanchonete,2022-04-26 05:42:42,-12.4
Lanchonete,2022-04-25 15:49:05,-17.12
Farmacia,2022-04-25 03:06:17,-8.13
Uber,2022-04-25 00:15:49,-9.93
Gol,2022-04-24 16:19:23,-96.59
Farmacia,2022-04-24 15:25:36,-36.58
Uber,2022-04-24 14:25:24,-7.08
Restaurante,2022-04-24 11:09:08,-26.28
Lanchonete,2022-04-24 07:18:04,-8.57
Farmacia,2022-04-24 05:05:09,-20.39
Consultorio Medico,2022-04-23 19:21:25,-309.2
Azul,2022-04-23 18:01:27,-54.24
Jau Serve,2022-04-22 20:25:29,-41.25
Farmacia,2022-04-22 04:35:22,-20.11
Farmacia,2022-04-21 15:02:52,-15.84
Uber,2022-04-21 08:34:07,-16.92
Pandora,2022-04-20 13:37:22,-316.01
IFood,2022-04-20 07:10:11,-13.78
Renner,2022-04-20 06:16:00,-76.2
Jau Serve,2022-04-20 05:29:54,-11.8
Cinema,2022-04-19 09:04:33,-21.12
Lanchonete,2022-04-18 15:04:14,-12.78
Azul,2022-04-18 09:35:15,-324.04
Lanchonete,2022-04-18 07:42:31,-20.33
Renner,2022-04-17 22:40:44,-61.61
Latam,2022-04-17 22:19:35,-77.91
IFood,2022-04-17 11:14:58,-11.34
Jau Serve,2022-04-17 09:36:02,-52.83
Livraria,2022-04-16 21:27:48,-98.77
Farmacia,2022-04-16 15:30:36,-121.38
Jau Serve,2022-04-15 15:31:43,-17.14
Cinema,2022-04-15 14:36:33,-13.01
IFood,2022-04-15 14:20:52,-12.24
Latam,2022-04-15 12:25:01,-325.14
Farmacia,2022-04-15 05:36:19,-14.9
Açougue,2022-04-14 14:28:38,-57.24
ClickBus,2022-04-14 12:11:39,-59.05
Lanchonete,2022-04-14 04:02:29,-8.03
ClickBus,2022-04-13 15:21:39,-70.37
Jau Serve,2022-04-12 15:45:57,-18.32
Restaurante,2022-04-12 06:32:35,-16.55
Uber,2022-04-12 02:35:09,-8.09
IFood,2022-04-11 08:57:50,-21.46
Farmacia,2022-04-11 05:24:16,-19.62
Latam,2022-04-10 23:26:22,-393.3
Lanchonete,2022-04-10 12:59:57,-17.58
Gol,2022-04-10 08:00:21,-95.9
CVC,2022-04-09 06:09:03,-370.21
Pandora,2022-04-08 21:36:01,-319.95
Restaurante,2022-04-08 20:33:11,-17.57
Jau Serve,2022-04-08 19:02:01,-17.09
Jau Serve,2022-04-08 12:57:12,-16.48
Consultorio Medico,2022-04-08 04:02:30,-50.68
ClickBus,2022-04-08 03:53:32,-62.7
Uber,2022-04-08 02:00:47,-12.14
Uber,2022-04-07 23:55:02,-19.64
Farmacia,2022-04-07 21:46:09,-72.97
ClickBus,2022-04-06 22:50:13,-25.75
IFood,2022-04-06 22:22:47,-8.06
Latam,2022-04-04 16:10:07,-105.24
Lanchonete,2022-04-04 01:15:23,-13.33
Jau Serve,2022-04-03 14:33:36,-9.61
Lanchonete,2022-04-03 05:13:04,-10.41
Jau Serve,2022-04-03 03:18:15,-7.84
IFood,2022-04-03 02:41:49,-20.05
Açougue,2022-04-03 02:32:01,-55.05
Jau Serve,2022-04-02 22:50:46,-18.53
ClickBus,2022-04-02 16:22:12,-62.31
Uber,2022-03-31 18:00:47,-9.53
Restaurante,2022-03-31 08:25:18,-37.14
Jau Serve,2022-03-29 03:51:56,-20.17
Farmacia,2022-03-28 17:40:17,-12.17
Jau Serve,2022-03-28 11:49:55,-7.2
Latam,2022-03-27 17:00:01,-145.29
Cinema,2022-03-27 08:34:27,-14.04
Consultorio Medico,2022-03-26 20:09:48,-58.87
Uber,2022-03-26 16:25:30,-13.31
Farmacia,2022-03-26 11:19:27,-42.0
Salario,2022-03-26 11:09:38,5000.0
Academia,2022-03-26 11:09:38,-80.0
Aluguel,2022-03-26 11:09:38,-750.0
Internet,2022-03-26 11:09:38,-100.0
Açougue,2022-03-24 23:53:46,-22.82
Uber,2022-03-24 23:37:02,-9.23
Farmacia,2022-03-24 02:44:05,-9.85
Jau Serve,2022-03-23 17:46:31,-16.38
Uber,2022-03-23 02:37:49,-8.98
IFood,2022-03-22 00:58:38,-11.64
Restaurante,2022-03-21 12:59:36,-55.42
Jau Serve,2022-03-21 10:12:10,-9.92
Cinema,2022-03-20 19:45:56,-16.63
ClickBus,2022-03-20 08:41:32,-74.12
Livraria,2022-03-19 14:53:20,-21.6
Lanchonete,2022-03-19 10:48:04,-21.3
Adidas,2022-03-19 10:42:24,-146.7
Laticinios,2022-03-19 02:41:21,-12.42
Livraria,2022-03-18 22:37:54,-57.76
Jau Serve,2022-03-18 15:19:42,-49.12
IFood,2022-03-18 14:13:21,-21.03
Uber,2022-03-18 06:27:15,-12.12
Consultorio Medico,2022-03-17 12:05:57,-54.28
IFood,2022-03-16 19:23:08,-7.79
ClickBus,2022-03-16 06:30:26,-149.2
Uber,2022-03-13 22:02:43,-15.1
Lanchonete,2022-03-13 19:33:36,-13.43
Farmacia,2022-03-13 05:10:54,-38.26
Gol,2022-03-11 07:01:31,-383.18
Açougue,2022-03-11 07:00:53,-46.12
Latam,2022-03-10 10:58:05,-398.03
Laticinios,2022-03-10 09:50:01,-21.19
Consultorio Medico,2022-03-10 04:58:46,-303.38
Jau Serve,2022-03-09 19:19:32,-110.36
Farmacia,2022-03-09 19:07:42,-11.58
Consultorio Medico,2022-03-08 17:15:32,-336.59
Laticinios,2022-03-08 15:37:38,-7.23
Uber,2022-03-07 14:38:27,-15.34
Latam,2022-03-07 01:58:29,-325.99
Açougue,2022-03-07 01:14:40,-23.61
ClickBus,2022-03-06 21:54:48,-47.45
Cinema,2022-03-06 17:52:32,-10.45
Cinema,2022-03-05 17:21:55,-11.57
Farmacia,2022-03-05 10:14:26,-114.17
Livraria,2022-03-05 07:36:45,-126.73
Açougue,2022-03-04 23:23:15,-36.17
Jau Serve,2022-03-04 18:47:01,-19.39
Farmacia,2022-03-03 16:52:05,-9.67
Lanchonete,2022-03-03 01:48:48,-7.27
Latam,2022-03-02 23:40:40,-117.58
Açougue,2022-03-02 02:56:29,-64.85
CVC,2022-03-01 01:43:05,-354.64
Farmacia,2022-02-28 05:55:01,-64.87
Azul,2022-02-28 00:37:25,-380.65
ClickBus,2022-02-27 21:56:44,-134.92
IFood,2022-02-27 08:17:11,-7.03
Aluguel,2022-02-26 11:09:38,-750.0
Salario,2022-02-26 11:09:38,5000.0
Internet,2022-02-26 11:09:38,-100.0
Academia,2022-02-26 11:09:38,-80.0
Jau Serve,2022-02-26 10:21:34,-8.41
Farmacia,2022-02-26 05:37:53,-28.27
Cinema,2022-02-25 10:22:44,-14.92
Jau Serve,2022-02-24 21:44:40,-7.71
Farmacia,2022-02-24 17:13:43,-20.47
Livraria,2022-02-24 14:50:42,-123.16
Farmacia,2022-02-24 08:52:15,-16.13
Renner,2022-02-23 23:29:07,-121.65
Livraria,2022-02-23 07:43:50,-71.06
Jau Serve,2022-02-22 13:20:49,-19.33
Pandora,2022-02-22 12:32:47,-330.18
Livraria,2022-02-22 00:23:43,-34.65
Lanchonete,2022-02-21 22:15:37,-13.99
IFood,2022-02-21 16:07:15,-11.35
Laticinios,2022-02-21 14:31:37,-11.21
Farmacia,2022-02-21 14:30:26,-49.55
Latam,2022-02-21 00:01:30,-110.1
Jau Serve,2022-02-20 21:08:36,-43.57
Farmacia,2022-02-20 13:05:50,-7.68
Laticinios,2022-02-19 16:23:33,-8.29
Cinema,2022-02-19 16:20:51,-8.46
Jau Serve,2022-02-19 11:37:52,-18.41
ClickBus,2022-02-19 10:19:21,-90.69
Uber,2022-02-18 18:49:44,-21.02
Veterinario,2022-02-18 15:23:29,-93.37
Laticinios,2022-02-18 01:15:43,-9.08
Azul,2022-02-17 21:36:00,-123.04
Livraria,2022-02-16 23:46:56,-55.69
Lanchonete,2022-02-16 19:10:32,-16.36
Jau Serve,2022-02-16 03:38:42,-65.49
Farmacia,2022-02-15 18:40:29,-12.98
Farmacia,2022-02-15 07:38:04,-64.1
Uber,2022-02-13 18:23:13,-8.87
Veterinario,2022-02-13 12:33:15,-121.17
Laticinios,2022-02-13 06:56:14,-8.19
IFood,2022-02-12 12:03:31,-9.43
ClickBus,2022-02-12 08:17:14,-22.16
Uber,2022-02-11 21:43:13,-17.73
IFood,2022-02-11 20:18:04,-9.02
Lanchonete,2022-02-11 17:00:23,-16.32
Lanchonete,2022-02-11 02:41:26,-20.53
Farmacia,2022-02-10 08:10:34,-13.48
Jau Serve,2022-02-09 22:23:20,-129.53
Jau Serve,2022-02-09 11:16:59,-20.76
Azul,2022-02-09 11:07:21,-347.0
Jau Serve,2022-02-08 17:21:57,-99.76
Farmacia,2022-02-08 11:39:25,-35.33
Lanchonete,2022-02-08 04:59:22,-18.41
Uber,2022-02-08 02:38:17,-17.03
Farmacia,2022-02-08 00:51:09,-18.46
Uber,2022-02-06 19:52:24,-8.89
Lanchonete,2022-02-06 07:40:47,-19.22
Jau Serve,2022-02-04 19:39:14,-16.58
ClickBus,2022-02-04 15:36:46,-58.18
Farmacia,2022-02-04 07:31:47,-9.14
IFood,2022-02-04 01:54:22,-14.2
Farmacia,2022-02-03 15:10:11,-15.61
Adidas,2022-02-03 12:21:16,-80.82
IFood,2022-02-03 11:07:04,-16.18
Laticinios,2022-02-02 13:17:36,-8.57
Farmacia,2022-02-02 01:02:22,-40.65
Lanchonete,2022-02-01 21:05:55,-20.69
Farmacia,2022-02-01 20:18:48,-7.39
Pandora,2022-01-30 17:28:44,-395.53
Restaurante,2022-01-30 04:44:34,-44.42
Açougue,2022-01-29 16:51:30,-73.49
Cinema,2022-01-29 10:51:19,-18.88
Laticinios,2022-01-28 12:05:05,-17.96
Uber,2022-01-28 00:41:21,-16.07
ClickBus,2022-01-27 23:00:05,-136.26
Laticinios,2022-01-27 07:46:17,-12.82
Restaurante,2022-01-27 05:36:52,-37.31
Internet,2022-01-26 11:09:38,-100.0
Academia,2022-01-26 11:09:38,-80.0
Salario,2022-01-26 11:09:38,5000.0
Aluguel,2022-01-26 11:09:38,-750.0
Cinema,2022-01-26 07:10:28,-18.61
Uber,2022-01-26 01:03:36,-8.61
Jau Serve,2022-01-26 00:57:58,-18.92
Pandora,2022-01-25 20:25:16,-349.78
Latam,2022-01-25 19:01:29,-320.08
Açougue,2022-01-25 18:05:27,-24.41
Jau Serve,2022-01-24 15:28:40,-62.23
IFood,2022-01-24 08:06:47,-15.85
Laticinios,2022-01-23 19:09:56,-18.54
Lanchonete,2022-01-23 09:27:35,-15.79
IFood,2022-01-23 01:07:10,-13.68
Lanchonete,2022-01-22 22:02:50,-12.38
Cinema,2022-01-22 20:38:37,-17.92
Restaurante,2022-01-22 03:14:24,-32.63
Farmacia,2022-01-19 08:50:38,-98.81
Nike,2022-01-19 02:36:26,-137.51
IFood,2022-01-18 20:56:33,-16.41
Pandora,2022-01-18 12:53:41,-340.15
IFood,2022-01-18 04:09:23,-13.3
Gol,2022-01-17 23:39:33,-379.68
ClickBus,2022-01-17 15:41:09,-54.93
Açougue,2022-01-17 12:06:51,-65.74
Livraria,2022-01-16 22:10:20,-42.78
Cinema,2022-01-16 20:58:55,-11.75
IFood,2022-01-16 03:40:35,-14.35
Laticinios,2022-01-15 01:06:44,-7.25
Laticinios,2022-01-13 16:47:32,-16.46
IFood,2022-01-13 14:35:54,-8.75
Uber,2022-01-13 13:00:12,-13.22
IFood,2022-01-12 15:42:58,-20.8
Livraria,2022-01-11 03:03:47,-98.72
Gol,2022-01-10 04:27:55,-389.72
Farmacia,2022-01-09 16:04:05,-13.5
Restaurante,2022-01-09 13:48:13,-53.08
ClickBus,2022-01-09 09:57:57,-42.77
Restaurante,2022-01-09 03:22:06,-45.76
Jau Serve,2022-01-07 20:45:07,-12.2
Jau Serve,2022-01-07 12:28:16,-20.83
Açougue,2022-01-06 12:03:25,-23.92
ClickBus,2022-01-05 18:39:43,-56.93
Azul,2022-01-04 14:04:51,-314.68
Consultorio Medico,2022-01-04 08:19:56,-373.67
Farmacia,2022-01-03 18:59:22,-8.06
Gol,2022-01-03 06:09:18,-367.4
Uber,2022-01-01 17:15:07,-20.68
Livraria,2022-01-01 03:36:12,-70.77
Açougue,2022-01-01 00:51:49,-38.0
ClickBus,2021-12-30 16:28:20,-65.06
Jau Serve,2021-12-29 21:06:44,-32.33
Restaurante,2021-12-27 00:47:50,-64.46
Gol,2021-12-26 18:17:46,-104.89
Livraria,2021-12-26 18:05:02,-60.8
Aluguel,2021-12-26 11:09:38,-750.0
Salario,2021-12-26 11:09:38,5000.0
Academia,2021-12-26 11:09:38,-80.0
Internet,2021-12-26 11:09:38,-100.0
Jau Serve,2021-12-25 08:03:50,-128.71
Adidas,2021-12-25 00:45:38,-118.18
Gol,2021-12-23 21:05:58,-312.48
Laticinios,2021-12-23 12:55:48,-19.85
Jau Serve,2021-12-23 00:04:08,-119.6
IFood,2021-12-22 19:22:26,-12.1
Farmacia,2021-12-22 16:15:56,-48.66
Azul,2021-12-22 11:15:14,-329.99
Uber,2021-12-21 21:45:51,-14.25
Livraria,2021-12-21 04:42:48,-48.4
Livraria,2021-12-21 03:02:07,-17.0
Azul,2021-12-20 21:02:35,-380.17
Uber,2021-12-20 20:08:17,-20.05
Latam,2021-12-20 02:00:54,-358.54
Laticinios,2021-12-18 23:23:59,-19.67
ClickBus,2021-12-18 18:17:59,-70.58
Jau Serve,2021-12-18 17:07:26,-7.84
Cinema,2021-12-18 14:10:28,-19.94
Lanchonete,2021-12-18 05:56:10,-11.86
Cinema,2021-12-16 21:35:10,-21.77
Jau Serve,2021-12-16 09:10:19,-12.81
Latam,2021-12-16 03:46:06,-389.68
Gol,2021-12-15 06:05:15,-306.77
Farmacia,2021-12-13 06:45:00,-55.06
Farmacia,2021-12-12 12:24:21,-16.26
IFood,2021-12-11 00:03:33,-18.72
Livraria,2021-12-10 09:07:57,-20.86
Lanchonete,2021-12-09 17:58:09,-9.83
Cinema,2021-12-08 02:55:22,-18.93
ClickBus,2021-12-07 22:42:52,-72.26
Consultorio Medico,2021-12-07 13:09:56,-375.24
Laticinios,2021-12-07 11:16:33,-11.31
Uber,2021-12-07 09:10:50,-19.32
Veterinario,2021-12-06 23:16:18,-141.85
Farmacia,2021-12-06 21:43:42,-17.68
Uber,2021-12-05 17:57:18,-7.82
Gol,2021-12-04 14:31:06,-365.85
Uber,2021-12-04 05:30:54,-12.73
Farmacia,2021-12-02 06:28:12,-106.55
Gol,2021-12-02 00:38:51,-345.12
Jau Serve,2021-11-30 09:09:41,-45.74
Renner,2021-11-30 01:02:05,-67.04
Açougue,2021-11-29 09:15:54,-52.39
Adidas,2021-11-29 07:30:07,-104.86
Livraria,2021-11-29 04:32:44,-134.32
Laticinios,2021-11-28 22:32:46,-15.05
IFood,2021-11-28 16:38:29,-13.65
Consultorio Medico,2021-11-28 10:19:48,-385.94
Uber,2021-11-26 18:18:05,-16.93
Salario,2021-11-26 11:09:38,5000.0
Aluguel,2021-11-26 11:09:38,-750.0
Internet,2021-11-26 11:09:38,-100.0
Academia,2021-11-26 11:09:38,-80.0
ClickBus,2021-11-25 06:37:31,-70.53
Pandora,2021-11-24 23:33:27,-324.56
Jau Serve,2021-11-24 05:27:04,-14.5
Lanchonete,2021-11-24 01:18:07,-13.16
Gol,2021-11-24 00:33:11,-96.13
IFood,2021-11-23 20:51:46,-16.01
Laticinios,2021-11-23 07:50:37,-9.35
Azul,2021-11-22 07:18:27,-360.74
Uber,2021-11-21 15:12:06,-10.27
Lanchonete,2021-11-20 05:34:48,-7.49
Latam,2021-11-20 00:56:40,-147.07
Lanchonete,2021-11-19 13:20:31,-20.61
Livraria,2021-11-17 15:38:06,-57.23
Livraria,2021-11-17 10:11:00,-38.49
Latam,2021-11-16 19:02:52,-338.07
